Context,Response,textblob_sentiment,textblob_polarity,textblob_subjectivity,transformer_sentiment,transformer_score
"I guess I tried to be present and supported, but it seemed like it was never enough.","Remember, small efforts can make a big difference. How do you handle your anger when it arises in conflicts with your child in teenagers?",neutral,0.0,0.25,,
"I think partly due to the pressure I felt from my parents and society to succeed in learning. They emphasized the importance of high and successful points in the future, this has affected my thoughts as a child.","I heard it. The expectations of us in childhood can shape our priorities. As an adult, can you balance your achievements with more playful and leisurely activities?",positive,0.19625,0.49749999999999994,,
"Yes, I definitely allowed myself to feel the pain. I am pondering the relationship and the reason it ends. I am trying to understand my own role in that death, but sometimes I feel overwhelmed to face those emotions.",It is great to give yourself the space to ponder and understand your part in the breakup. Facing our own weaknesses can be a challenge. Can you rely on your support system during this time?,positive,0.3,0.75,,
"No, I think this conversation is really helpful. Thank you for guiding me to overcome this and helped me see the positive aspects of this breakup.","Nothing. It is honored to be supported on the healing journey. Remember, you have enough strength and resilience to overcome this and create a brighter future for yourself. Please contact any time you need to talk. Take care.",positive,0.21363636363636362,0.3727272727272727,,
I think you are right. It is difficult to shake off the feeling of worry that I will never achieve success in my career. It was like a cloud frequently floating on my head and I didn't know how to get rid of it.,I heard your level of anxiety. Let's rearrange your thoughts and focus on your strengths. It is important to remember that the subjective success and the journey of each person will be different. What are some qualities or skills that you appreciate yourself?,neutral,0.04642857142857142,0.4589285714285714,,
"Hmm, perhaps this farewell is allowed me to discover my true self. It is an opportunity for me to focus on my own goals and aspirations, and really find out what I want in life.",It is a beautiful perspective. Discovering itself can be a strong and transforming process. How do you think how to take advantage of this opportunity to discover your wishes and needs?,positive,0.3833333333333333,0.6166666666666666,,
"It sounds good. I really appreciate your guidance and support. For me, someone understands and cares to talk greatly to me. I am ready to take these steps to overcome fear and find my own successful version. Thank.","Nothing. It is honored to be here with you in this journey. Remember, I'm here to support you step by step on this path. You are brave and resilient, and I firmly believe that you will find the strength to overcome fear and achieve success that suits your true self.",positive,0.48999999999999994,0.65,,
The meetings and presentations made me extremely worried. Just thinking about talking in front of others also made my heart pound and I could not shake off the fear of saying something wrong or made myself ashamed. It became a vicious cycle.,The fear of speaking in front of your crowd is a source of common anxiety for many people. Let's explore a number of coping strategies that can help you navigate these situations more effectively. Have you tried any relaxing techniques or seeking support from colleagues or advisers?,negative,-0.5416666666666666,0.9666666666666667,NEGATIVE,0.9989327788352966
"I have a cousin who has experienced similar learning pressures. I always feel that they support and understand, so maybe opening their hearts to them will be a good idea.","It sounds a great plan. There is a person who can sympathize with your experience can create a different world. In addition, discovering healthy coping mechanisms can help you manage your worries can also be helpful. Have you ever tried any self -care method effectively before?",positive,0.5,0.6333333333333334,POSITIVE,0.9995458722114563
I feel sorry. She ... she is all mine. But now I have lost her because of my addiction. I don't know what to do.,", I can feel the pain you are going through now. Obviously she holds a very special position in your heart. Can you tell me a little more about the addiction affecting your relationship?",negative,-0.5,1.0,,
Of course. It was depressed to see that his idea was dismissed or recognized by others. I have spent countless time trying to improve the processes and contribute profound understanding but only receive indifference or even opposition. It was depressed to feel that their efforts were in vain.,I can imagine how frustrated you will be when your efforts are not recognized or underestimated. It is clear that this is causing many difficulties in your work. Is the interruption in communication or misunderstanding with your colleagues can contribute to this betrayal feeling?,neutral,-0.004166666666666669,0.65,,
"Sometimes, I try to rest and breathe, but feel never enough. I feel guilty, I should have been constantly working to catch up. The feeling of sin only made me more stressful, making me even more lonely.",The feeling of the sin that he is experiencing is understandable. Usually people who face stress related to work will feel that they must constantly motivate themselves. But it is important to remember that rest is necessary for your health. How do you manage your stress?,neutral,0.05714285714285715,0.6476190476190476,,
"I thought about that but I still haven't really found a strategy that suits me. I tried meditation but I became impatient and restless. Exercise is useful but it's hard to spend time for it every day. And once I was distracted, it was difficult to pull myself back in the right direction.","It can be understood that finding a suitable strategy may take time. Sometimes, what is effective for this person may not be effective for others. It may be helpful if you discover various activities that help you calm and focus, such as walking in the middle of nature, practicing deep breathing exercises or even taking part in a creative hobby that attracts your attention. Are you ready to try new approaches?",neutral,-0.029421768707483,0.4539115646258503,,
One reason I realized that when I felt I didn't control a situation. It trigged my anxiety and I began to panic. Let go and believe that everything will be a challenge for me. I always feel that I need to control it to keep myself safe.,"Giving up control can actually be a challenge, especially when it is a coping mechanism in most of your life. It may be helpful to discover how you can gradually change your thoughts from you need to control everything to accept that some things are out of your control. Did you consider seeking support from therapy or other resources?",positive,0.5,0.5,,
"In harmony with nature always gives me a sense of peace and deeply. Walking leisurely in the park, feeling the sun on my skin and listening to the birds singing makes me feel connected and lively. I also found comfort when writing a diary, because it allows me to express and handle my thoughts and feelings.","It is great that you find comfort in nature and write a diary. Connecting with nature can be extremely foundation and therapy. Similarly, the diary brings an exit for internal consideration and expressing himself. In therapy, we can explore these ways to combine these activities into your habit and find out additional care methods that are suitable for you. What is this sound to you?",neutral,0.06818181818181818,0.45,,
